179,Co-57,F,6.0E-01,1.45E-09,1.09E-09,5.66E-10,3.69E-10,2.30E-10,1.88E-10,2.24E-10
180,Co-57,M,2.0E-01,2.75E-09,2.17E-09,1.27E-09,8.51E-10,6.68E-10,5.50E-10,6.18E-10
181,Co-57,S,2.0E-02,4.35E-09,3.71E-09,2.27E-09,1.51E-09,1.19E-09,1.00E-09,1.12E-09
182,Co-58,F,6.0E-01,3.99E-09,3.04E-09,1.60E-09,1.03E-09,6.41E-10,5.35E-10,6.35E-10
183,Co-58,M,2.0E-01,7.26E-09,6.49E-09,3.48E-09,2.40E-09,1.95E-09,1.59E-09,1.78E-09
184,Co-58,S,2.0E-02,9.00E-09,7.44E-09,4.55E-09,3.15E-09,2.60E-09,2.11E-09,2.34E-09
185,Co-58m,F,6.0E-01,4.75E-11,3.63E-11,1.67E-11,1.05E-11,5.89E-12,5.17E-12,6.27E-12
186,Co-58m,M,2.0E-01,1.06E-10,7.57E-11,3.75E-11,2.42E-11,1.61E-11,1.32E-11,1.56E-11
187,Co-58m,S,2.0E-02,1.25E-10,8.88E-11,4.51E-11,2.93E-11,2.01E-11,1.64E-11,1.93E-11
188,Co-60,F,6.0E-01,3.01E-08,2.34E-08,1.36E-08,8.89E-09,6.09E-09,5.27E-09,6.02E-09
189,Co-60,M,2.0E-01,4.16E-08,3.39E-08,2.13E-08,1.46E-08,1.21E-08,1.02E-08,1.12E-08
190,Co-60,S,2.0E-02,9.16E-08,8.58E-08,5.89E-08,4.03E-08,3.42E-08,3.08E-08,3.30E-08
191,Co-60m,F,6.0E-01,4.33E-12,2.78E-12,1.52E-12,1.01E-12,8.14E-13,6.76E-13,7.60E-13
192,Co-60m,M,2.0E-01,6.99E-12,4.57E-12,2.61E-12,1.76E-12,1.47E-12,1.22E-12,1.36E-12
193,Co-60m,S,2.0E-02,7.47E-12,4.96E-12,2.87E-12,1.93E-12,1.62E-12,1.36E-12,1.50E-12
194,Co-61,F,6.0E-01,2.14E-10,1.41E-10,6.12E-11,3.87E-11,2.26E-11,1.95E-11,2.37E-11
195,Co-61,M,2.0E-01,4.07E-10,2.68E-10,1.25E-10,8.30E-11,5.75E-11,4.77E-11,5.58E-11
196,Co-61,S,2.0E-02,4.33E-10,2.83E-10,1.33E-10,8.82E-11,6.15E-11,5.10E-11,5.95E-11
197,Co-62m,F,6.0E-01,1.39E-10,9.69E-11,4.55E-11,2.81E-11,1.70E-11,1.41E-11,1.72E-11
198,Co-62m,M,2.0E-01,1.93E-10,1.32E-10,6.20E-11,3.89E-11,2.43E-11,2.03E-11,2.44E-11
199,Co-62m,S,2.0E-02,1.99E-10,1.36E-10,6.39E-11,4.00E-11,2.51E-11,2.10E-11,2.52E-11
